H;GG;Dyn I;Dyn III;Dyn IV;SiFe-konv;SiFe-mod;;;
A/m;T;T;T;T;T;T;T;T;T
0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;
50;0,0045;0,0800;0,0800;0,1400;1,0000;1,6600;;;
100;0,0100;0,2600;0,2500;0,3000;1,3800;1,7900;;;
150;0,0150;0,4000;0,3800;0,4300;1,5000;1,8300;;;
200;0,0220;0,5500;0,6200;0,5400;1,5600;1,8500;;;
250;0,0300;0,6800;0,6150;0,6300;1,6100;1,8600;;;
300;0,0400;0,7800;0,7000;0,7100;1,6600;1,8800;;;
400;0,0620;0,9700;0,8660;0,8500;1,7180;1,9000;;;
500;0,0880;1,1200;1,0000;0,9700;1,7600;1,9100;;;
600;0,1080;1,2300;1,1050;1,0700;1,8000;1,9200;;;
700;0,1380;1,3060;1,2000;1,1500;1,8300;1,9250;;;
800;0,1730;1,3560;1,2660;1,2250;1,8650;1,9300;;;
900;0,2110;1,3960;1,3260;1,2750;1,8760;1,9350;;;
1000;0,2860;1,4300;1,3600;1,3200;1,8920;1,9400;;;
1100;0,3000;1,4600;1,3900;1,3450;1,9030;1,9425;;;
1200;0,3400;1,4850;1,4030;1,3660;1,9130;1,9450;;;
1300;0,3800;1,5020;1,4160;1,3850;1,9220;1,9475;;;
1400;0,4160;1,5150;1,4260;1,3920;1,9310;1,9500;;;
1500;0,4500;1,5250;1,4390;1,4000;1,9390;1,9525;;;
2000;0,5800;1,5700;1,4820;1,4400;1,9700;1,9650;;;
2500;0,6500;1,6100;1,5150;1,4650;1,9950;1,9665;;;
3000;0,6780;1,6450;1,5480;1,4800;2,0150;1,9800;;;
3500;0,7040;1,6720;1,5720;1,4950;2,0330;1,9815;;;
4000;0,7280;1,6870;1,5900;1,5100;2,0480;1,9850;;;
4500;0,7500;1,7000;1,6070;1,5250;2,0620;1,9865;;;
5000;0,7700;1,7120;1,6230;1,5400;2,0760;1,9900;;;
6000;0,8140;1,7420;1,6490;1,5650;2,0950;1,9915;;;
7000;0,8540;1,7710;1,6750;1,5860;2,1130;2,0100;;;
8000;0,8920;1,7800;1,7000;1,6040;2,1280;2,0300;;;
9000;0,9280;1,8080;1,7240;1,6230;2,1420;2,0500;;;
10000;0,9800;1,8360;1,7460;1,6420;2,1640;2,0700;;;
11000;0,9880;1,8570;1,7660;1,6600;2,1650;;;;
12000;1,0100;1,8780;1,7860;1,6780;2,1750;;;;
13000;1,0300;1,8940;1,8030;1,6960;2,1850;;;;
14000;1,0460;1,9090;1,8200;1,7130;2,1940;;;;
15000;1,0600;1,9230;1,8360;1,7300;2,2020;;;;
20000;1,1250;1,9830;1,8980;1,7960;2,2300;;;;
25000;1,1700;2,0330;1,9600;1,8600;2,2520;;;;
30000;1,2100;2,0740;1,9950;1,8850;2,2720;;;;
